,sales,number_of_customers,visitors,opening_hour,closing_hour
2017-01-02 11:00:00,1075.0,1.0,0.0,10.0,18.0
2017-01-02 12:00:00,1316.0,2.0,0.0,10.0,18.0
2017-01-02 13:00:00,2602.0,3.0,0.0,10.0,18.0
2017-01-02 14:00:00,518.0,2.0,0.0,10.0,18.0
2017-01-02 16:00:00,2395.0,1.0,0.0,10.0,18.0
2017-01-03 10:00:00,1570.0,3.0,0.0,10.0,18.0
2017-01-03 11:00:00,860.0,2.0,0.0,10.0,18.0
2017-01-03 12:00:00,1599.0,1.0,0.0,10.0,18.0
2017-01-03 13:00:00,3183.0,6.0,0.0,10.0,18.0
2017-01-03 14:00:00,7250.0,7.0,0.0,10.0,18.0
2017-01-03 16:00:00,1397.0,1.0,0.0,10.0,18.0
2017-01-03 17:00:00,1800.0,2.0,0.0,10.0,18.0
2017-01-04 10:00:00,1763.0,2.0,0.0,10.0,18.0
2017-01-04 11:00:00,629.0,1.0,0.0,10.0,18.0
2017-01-04 12:00:00,2534.0,4.0,0.0,10.0,18.0
2017-01-04 13:00:00,1615.0,5.0,0.0,10.0,18.0
2017-01-04 14:00:00,1641.0,4.0,0.0,10.0,18.0
2017-01-04 15:00:00,3043.0,6.0,0.0,10.0,18.0
2017-01-04 16:00:00,1456.0,2.0,0.0,10.0,18.0
2017-01-04 17:00:00,8094.0,7.0,0.0,10.0,18.0
2017-01-05 12:00:00,2124.0,2.0,0.0,10.0,18.0
2017-01-05 13:00:00,6554.0,8.0,0.0,10.0,18.0
2017-01-05 14:00:00,2153.0,3.0,0.0,10.0,18.0
2017-01-05 15:00:00,3550.0,4.0,0.0,10.0,18.0
2017-01-05 16:00:00,4552.0,4.0,0.0,10.0,18.0
2017-01-05 17:00:00,2141.0,2.0,0.0,10.0,18.0
2017-01-07 11:00:00,2645.0,3.0,0.0,10.0,16.0
2017-01-07 12:00:00,4586.0,7.0,0.0,10.0,16.0
2017-01-07 13:00:00,639.0,1.0,0.0,10.0,16.0
2017-01-07 14:00:00,1470.0,2.0,0.0,10.0,16.0
